Date,High,Low,Open,Close,Gap,Positive,Negative
2019-09-06,46500.0,45850.0,46500.0,46300.0,400.0,27.0,15.0
2019-09-09,47000.0,46300.0,46450.0,46900.0,500.0,29.0,30.0
2019-09-10,47200.0,46550.0,47100.0,47000.0,200.0,18.0,27.0
2019-09-11,47400.0,46800.0,47300.0,47150.0,200.0,32.0,27.0
2019-09-16,47100.0,46400.0,47000.0,47100.0,-300.0,41.0,38.0
2019-09-17,47100.0,46800.0,47000.0,46900.0,0.0,33.0,37.0
2019-09-18,47700.0,46800.0,46900.0,47700.0,600.0,36.0,33.0
2019-09-19,49200.0,47850.0,48050.0,49150.0,1500.0,23.0,17.0
2019-09-20,49600.0,49100.0,49400.0,49200.0,400.0,25.0,30.0
2019-09-23,49300.0,49000.0,49250.0,49300.0,-300.0,22.0,19.0
2019-09-24,49650.0,48850.0,49050.0,49500.0,350.0,26.0,43.0
2019-09-25,49350.0,48800.0,49200.0,48900.0,-300.0,16.0,7.0
2019-09-26,49250.0,48900.0,49000.0,49200.0,-100.0,56.0,18.0
2019-09-27,48700.0,48000.0,48000.0,48400.0,-550.0,26.0,19.0
2019-09-30,49250.0,47900.0,48050.0,49050.0,550.0,22.0,29.0
2019-10-01,49100.0,48650.0,48900.0,48850.0,-150.0,22.0,16.0
2019-10-02,48400.0,47600.0,48350.0,47600.0,-700.0,19.0,16.0
2019-10-04,48650.0,47350.0,47400.0,48000.0,250.0,11.0,18.0
2019-10-07,48700.0,47650.0,48350.0,47750.0,50.0,27.0,37.0
2019-10-08,49000.0,47600.0,47900.0,48900.0,300.0,14.0,23.0
2019-10-10,49200.0,48000.0,48200.0,48550.0,200.0,19.0,26.0
2019-10-11,49450.0,48800.0,49000.0,49150.0,250.0,46.0,21.0
2019-10-14,50300.0,49850.0,50000.0,50000.0,850.0,26.0,20.0
2019-10-15,50200.0,49900.0,49900.0,50100.0,-100.0,26.0,10.0
2019-10-16,50900.0,50400.0,50700.0,50700.0,700.0,29.0,20.0
2019-10-17,50600.0,50100.0,50500.0,50500.0,-300.0,20.0,7.0
2019-10-18,50900.0,49650.0,50300.0,49900.0,300.0,19.0,14.0
2019-10-21,50400.0,49800.0,49900.0,50300.0,-500.0,24.0,23.0
2019-10-22,51500.0,50700.0,50800.0,51200.0,1100.0,36.0,34.0
2019-10-23,51500.0,50800.0,51300.0,51200.0,0.0,22.0,20.0
2019-10-24,52500.0,50500.0,52500.0,50700.0,1000.0,20.0,21.0
2019-10-25,51200.0,50500.0,50800.0,50900.0,-1300.0,29.0,15.0
2019-10-28,51500.0,50700.0,50700.0,51300.0,300.0,31.0,31.0
2019-10-29,51700.0,50800.0,51400.0,51100.0,200.0,30.0,14.0
2019-10-30,50800.0,50200.0,50700.0,50400.0,-900.0,34.0,26.0
2019-10-31,51400.0,50300.0,51000.0,50400.0,600.0,26.0,21.0
2019-11-01,51200.0,50400.0,50600.0,51200.0,-200.0,27.0,22.0
2019-11-04,52300.0,51400.0,51700.0,52300.0,1100.0,30.0,31.0
2019-11-05,52700.0,52100.0,52400.0,52700.0,400.0,20.0,28.0
2019-11-06,53500.0,52700.0,52900.0,53300.0,800.0,25.0,11.0
2019-11-07,53400.0,52400.0,53400.0,52900.0,-100.0,20.0,21.0
2019-11-08,53300.0,52000.0,53200.0,52100.0,-100.0,27.0,11.0
2019-11-11,52200.0,51400.0,52200.0,51600.0,-1100.0,24.0,17.0
2019-11-12,52600.0,51600.0,51800.0,52600.0,400.0,20.0,9.0
2019-11-13,52500.0,52000.0,52500.0,52500.0,-100.0,23.0,27.0
2019-11-15,53700.0,52600.0,52900.0,53700.0,1200.0,25.0,20.0
2019-11-18,53800.0,53200.0,53600.0,53500.0,100.0,22.0,19.0
2019-11-19,53500.0,52700.0,53200.0,53500.0,-300.0,15.0,13.0
2019-11-20,53400.0,52000.0,53400.0,52000.0,-100.0,31.0,23.0
2019-11-21,52100.0,50600.0,51600.0,51000.0,-1300.0,22.0,19.0
2019-11-22,51600.0,50900.0,51000.0,51600.0,-500.0,31.0,36.0
2019-11-25,52600.0,51700.0,52200.0,51800.0,1000.0,29.0,21.0
2019-11-26,52900.0,51800.0,51900.0,51800.0,300.0,24.0,30.0
2019-11-27,52300.0,51600.0,51800.0,52200.0,-600.0,47.0,15.0
2019-11-28,52100.0,51300.0,51900.0,51300.0,-200.0,25.0,27.0
2019-11-29,51400.0,50200.0,51200.0,50300.0,-700.0,29.0,42.0
2019-12-02,51300.0,50400.0,50900.0,50400.0,-100.0,33.0,20.0
2019-12-03,50300.0,49500.0,49800.0,49900.0,-1000.0,32.0,22.0
2019-12-04,49850.0,49000.0,49600.0,49450.0,-450.0,33.0,10.0
2019-12-05,50400.0,49500.0,50200.0,49500.0,550.0,18.0,6.0
2019-12-06,50900.0,49950.0,50100.0,50400.0,500.0,18.0,13.0
2019-12-09,51400.0,50700.0,50900.0,51200.0,500.0,29.0,30.0
2019-12-10,51600.0,50700.0,51000.0,51500.0,200.0,24.0,15.0
2019-12-11,52200.0,51400.0,51500.0,51900.0,600.0,32.0,29.0
2019-12-12,53300.0,52700.0,53000.0,53300.0,1100.0,32.0,34.0
2019-12-13,54800.0,53900.0,54500.0,54700.0,1500.0,22.0,10.0
2019-12-16,54900.0,54300.0,54500.0,54700.0,100.0,23.0,25.0
