,name,code
528,한국콜마홀딩스,024720.KS
529,한샘,009240.KS
530,한솔홀딩스,004150.KS
531,한신기계공업,011700.KS
532,한화에어로스페이스,012450.KS
533,현대리바트,079430.KS
534,현대자동차,005380.KS
535,효성 ITX,094280.KS
536,휴니드테크놀러지스,005870.KS
537,GPS,014040.KS
538,KTF,032390.KS
539,LG정보통신,011650.KS
540,NH농협증권,016420.KS
541,강원은행,006590.KS
542,거성산업,008100.KS
543,경기은행,006320.KS
544,극동필트론,028910.KS
545,금성유업,028840.KS
546,금하방직,007790.KS
547,나우정밀,015340.KS
548,남선전기,028730.KS
549,대창건설,029090.KS
550,동북아27호,089170.KS
551,동북아30호,089200.KS
552,동성판유리,028850.KS
553,동신제지,016430.KS
554,동양건설,005900.KS
555,동양밸류스팩,122290.KS
556,두산기계,005040.KS
557,두산음료,004600.KS
558,맥쿼리센트럴,076850.KS
559,모토조이,008120.KS
560,미래에셋증권,037620.KS
561,사조해표,079660.KS
562,삼성반도체통신,028420.KS
563,삼화,028440.KS
564,서통화학,029050.KS
565,석락산업,029070.KS
566,센추리,006750.KS
567,셰프라인,012250.KS
568,수도극장,028720.KS
569,신강제지,019380.KS
570,신한인터내쇼날,012300.KS
571,신한전자,008650.KS
572,쌍용제지,005100.KS
573,아시아2호,081190.KS
574,엔케이텔레콤,003290.KS
575,영태전자공업,028530.KS
576,오리온전기,004390.KS
577,우리은행,000030.KS
578,우아미,015550.KS
579,유니온스틸,003640.KS
580,이트로닉스,013090.KS
581,장은증권,001170.KS
582,제일스레트공업,028830.KS
583,천지산업,001490.KS
584,케이와이씨,009400.KS
585,케이피케미칼,064420.KS
586,코리아02호,090980.KS
587,코오롱아이넷,022520.KS
588,코오롱포리에스타,029020.KS
589,태영판지공업,011940.KS
590,퍼시픽글라스,009080.KS
591,포스닉,008480.KS
592,풀무원식품,103160.KS
593,한강기금,036060.KS
594,한국기술산업,008320.KS
595,한국벨트,000840.KS
596,한국증권금융,028820.KS
597,한국프라스틱공업,028430.KS
598,한국합섬,025830.KS
599,한독맥주,028880.KS
600,한별텔레콤,016550.KS
601,한보철강공업,001920.KS
602,한외종금,014150.KS
603,현대금속,018410.KS
604,호남비료,028790.KS
605,DSR제강,069730.KS
606,JW중외제약,001060.KS
607,JW홀딩스,096760.KS
608,KPX홀딩스,092230.KS
609,KSS해운,044450.KS
610,LF,093050.KS
611,LG하우시스,108670.KS
612,LG화학,051910.KS
613,LIG넥스원,079550.KS
614,LS,006260.KS
615,NAVER,035420.KS
616,NH투자증권,005940.KS
